EDA_1646665728.000000,EDA_id,TEMP_1646665728.000000,BVP_1646665728.00,HR_1646665738.000000
0.137094,S31,32.43,26.37,75.8
0.137094,S31,32.43,22.84,75.73
0.137094,S31,32.43,19.43,75.67
0.137094,S31,32.45,16.14,75.62
0.135813,S31,32.45,12.74,75.6
0.137094,S31,32.45,8.97,75.65
0.138375,S31,32.45,4.71,75.72
0.137094,S31,32.45,0.09,75.8
0.137094,S31,32.45,-4.58,75.92
0.138375,S31,32.45,-8.85,76.02
0.135813,S31,32.45,-12.49,76.12
0.135813,S31,32.45,-15.54,76.25
0.137094,S31,32.45,-18.44,76.35
0.138375,S31,32.45,-21.79,76.43
0.139657,S31,32.45,-26.21,76.53
0.138375,S31,32.45,-32.03,76.63
0.139657,S31,32.45,-39.34,76.73
0.139657,S31,32.45,-47.87,76.87
0.139657,S31,32.45,-57.04,77.02
0.137094,S31,32.45,-65.94,77.15
0.135813,S31,32.45,-73.3,77.23
0.135813,S31,32.45,-77.56,77.43
0.138375,S31,32.45,-77.14,77.62
0.138375,S31,32.43,-70.92,77.83
0.139657,S31,32.43,-58.76,78.02
0.138375,S31,32.43,-41.6,78.17
0.137094,S31,32.43,-21.37,78.27
0.138375,S31,32.45,-0.43,78.47
0.138375,S31,32.45,19.07,78.65
0.137094,S31,32.45,35.6,78.65
0.138375,S31,32.45,48.48,78.65
0.138375,S31,32.45,57.6,78.72
0.138375,S31,32.45,63.25,78.77
0.137094,S31,32.45,65.84,78.77
0.139657,S31,32.45,65.76,78.8
0.138375,S31,32.47,63.56,78.8
0.140938,S31,32.47,59.98,78.63
0.140938,S31,32.47,55.82,78.38
0.140938,S31,32.47,51.87,78.13
0.139657,S31,32.47,48.66,77.9
0.142219,S31,32.47,46.26,77.67
0.140938,S31,32.47,44.38,77.42
0.139657,S31,32.47,42.51,76.95
0.139657,S31,32.43,40.12,76.57
0.138375,S31,32.43,36.97,76.15
0.134532,S31,32.43,33.19,75.73
0.134532,S31,32.43,29.26,75.35
0.134532,S31,32.45,25.71,74.98
0.135813,S31,32.45,22.86,74.58
0.135813,S31,32.45,20.67,74.18
0.139657,S31,32.45,18.59,73.75
0.149907,S31,32.49,15.86,73.32
0.151188,S31,32.49,11.75,72.88
0.151188,S31,32.49,5.8,72.52
0.152469,S31,32.49,-1.84,72.12
0.152469,S31,32.47,-10.61,71.67
0.15375,S31,32.47,-19.59,71.28
0.158875,S31,32.47,-27.8,70.92
0.155032,S31,32.47,-34.6,70.57
0.135813,S31,32.47,-39.76,70.27
0.13325,S31,32.47,-43.69,69.97
0.130688,S31,32.47,-47.23,69.7
0.140938,S31,32.47,-51.47,69.48
0.142219,S31,32.49,-57.28,69.27
0.144782,S31,32.49,-64.95,69.03
0.1435,S31,32.49,-73.83,68.7
0.142219,S31,32.49,-82.44,68.45
0.139657,S31,32.49,-88.77,68.18
0.138375,S31,32.49,-90.78,67.92
0.135813,S31,32.49,-87.01,67.73
0.135813,S31,32.49,-76.98,67.55
0.130688,S31,32.47,-61.45,67.33
0.13325,S31,32.47,-42.09,67.3
0.137094,S31,32.47,-21.17,67.25
0.137094,S31,32.47,-0.86,67.22
0.138375,S31,32.49,17.13,67.2
0.137094,S31,32.49,31.86,67.22
0.139657,S31,32.49,43.02,67.22
0.138375,S31,32.49,50.88,67.2
0.139657,S31,32.47,55.94,67.18
0.139657,S31,32.47,58.71,67.22
0.157594,S31,32.47,59.7,67.1
0.160157,S31,32.47,59.38,67.0
0.158875,S31,32.49,58.17,66.85
0.160157,S31,32.49,56.49,66.7
0.165282,S31,32.49,54.55,66.57
0.166563,S31,32.49,52.42,66.5
0.165282,S31,32.49,50.0,66.32
0.166563,S31,32.49,47.12,66.13
0.165282,S31,32.49,43.77,66.15
0.166563,S31,32.49,40.18,66.18
0.166563,S31,32.49,36.81,66.13
0.165282,S31,32.49,34.12,66.1
0.166563,S31,32.49,32.36,66.07
0.166563,S31,32.49,31.51,66.02
0.166563,S31,32.49,31.07,66.02
0.165282,S31,32.49,30.36,66.2
0.165282,S31,32.49,28.7,66.45
0.167844,S31,32.49,25.65,66.7
0.165282,S31,32.5,21.16,66.95
0.164001,S31,32.5,15.46,67.18
0.164001,S31,32.5,9.03,67.42
0.164001,S31,32.5,2.47,67.87
0.162719,S31,32.49,-3.64,68.22
0.164001,S31,32.49,-8.98,68.58
0.164001,S31,32.49,-13.47,68.93
0.162719,S31,32.49,-17.53,69.23
0.162719,S31,32.49,-21.93,69.52
0.161438,S31,32.49,-27.56,69.8
0.162719,S31,32.49,-35.08,70.08
0.161438,S31,32.49,-44.52,70.38
0.162719,S31,32.5,-55.1,70.7
0.160157,S31,32.5,-65.24,71.02
0.162719,S31,32.5,-73.01,71.25
0.162719,S31,32.5,-76.42,71.57
0.162719,S31,32.49,-74.23,71.98
0.162719,S31,32.49,-66.04,72.33
0.161438,S31,32.49,-52.66,72.67
0.162719,S31,32.49,-35.85,73.02
0.161438,S31,32.5,-17.86,73.35
0.161438,S31,32.5,-0.84,73.7
0.160157,S31,32.5,13.67,74.02
0.161438,S31,32.5,25.02,74.3
0.160157,S31,32.5,33.3,74.58
0.162719,S31,32.5,39.1,74.88
0.162719,S31,32.5,42.95,75.23
0.161438,S31,32.5,45.23,75.53
0.161438,S31,32.49,46.1,75.85
0.160157,S31,32.49,45.68,76.13
0.164001,S31,32.49,44.17,76.38
0.161438,S31,32.49,41.93,76.63
0.160157,S31,32.5,39.36,76.88
0.161438,S31,32.5,36.67,76.97
0.160157,S31,32.5,33.9,77.03
0.160157,S31,32.5,30.96,77.05
0.160157,S31,32.5,27.81,77.07
0.161438,S31,32.5,24.57,77.05
0.161438,S31,32.5,21.58,77.03
0.161438,S31,32.5,19.2,77.02
0.161438,S31,32.5,17.67,77.02
0.161438,S31,32.5,16.96,77.02
0.161438,S31,32.5,16.68,77.07
0.160157,S31,32.5,16.21,77.1
0.160157,S31,32.53,14.9,77.15
0.161438,S31,32.53,12.29,77.22
0.161438,S31,32.53,8.21,77.27
0.160157,S31,32.53,2.98,77.28
0.160157,S31,32.5,-2.87,77.3
0.160157,S31,32.5,-8.59,77.32
0.160157,S31,32.5,-13.59,77.32
0.161438,S31,32.5,-17.61,77.32
0.158875,S31,32.53,-20.79,77.33
0.160157,S31,32.53,-23.74,77.38
0.158875,S31,32.53,-27.34,77.43
0.164001,S31,32.53,-32.31,77.5
0.161438,S31,32.5,-39.03,77.55
